Well_ID,State,District,Block,Village,Latitude,Longitude,Year,pH,EC,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,WQI,Water Quality Classification
W254029084355301,Himachal Pradesh,Solan,nallagarh,jagatpur,31.1594,76.6785,2019,8.44,5.703782474656201,4.477336814478207,3.091042453358316,0.0,1.308332819650179,4.442651256490317,2.8903717578961645,2.3978952727983707,3.6888794541139363,1.2237754316221157,0.18232155679395465,5.572154032177765,85.80466,Good
W193530074180001,Maharashtra,Ahmednagar,sangamner,kokangaon,74.3,19.59166667,2022,7.9,7.182352111885263,6.253251722014396,4.799914262780603,4.136765278106052,2.954910279033736,6.144185634125646,4.396915247167632,4.180522258463153,4.492001487882454,0.9555114450274363,0.4252677354043441,5.921578419643816,280.0413,Very Poor yet Drinkable
W251908084361501,Himachal Pradesh,Solan,nallagarh,baruna,31.154,76.6384,2019,8.4,5.602118820879701,4.477336814478207,2.70805020110221,0.0,2.3978952727983707,4.762173934797756,2.3978952727983707,2.9444389791664403,3.1780538303479458,0.6931471805599453,0.11332868530700317,5.572154032177765,81.7786,Good
W192600074540001,Maharashtra,Ahmednagar,nevasa,vadala bhairoba,74.9,19.43333333,2022,7.55,7.322510433997394,5.6832395734248715,5.259576538231606,5.238567362142263,4.169761201506855,6.236369590203704,4.763881877142913,3.9982007016691985,4.578826210648489,2.1041341542702074,0.16551443847757338,6.710523109452428,376.4233,Unsuitable for Drinking
W222230071591001,Gujarat,Ahmedabad,dhandhuka,dhandhuka1,22.376073,71.987684,2020,8.2,8.89959435992585,7.035268599281097,7.344072850573066,6.20455776256869,5.3981627015177525,6.525029657843462,4.290459441148391,4.812184355372417,7.233455418621439,3.8066624897703196,1.3609765531356006,8.499232866039245,1944.8048,Unsuitable for Drinking
W310955076364001,Himachal Pradesh,Solan,nallagarh,bhatoli,31.1651,76.6082,2019,8.4,5.765191102784844,4.477336814478207,3.091042453358316,0.0,2.6390573296152584,4.762173934797756,2.3978952727983707,2.9444389791664403,3.367295829986474,1.252762968495368,0.1397619423751587,5.572154032177765,88.6506,Good
W192400075180001,Maharashtra,Ahmednagar,shevgaon,ghotan,75.3,19.4,2022,7.36,8.796641458940915,6.6301555418718685,7.092407451114374,6.7158681173184815,5.305292980284462,7.550135342488429,5.85707564406933,5.526647444549546,5.943848693166319,6.111467339502679,0.10436001532424277,6.588926477533519,1221.74084,Unsuitable for Drinking
W221745071565001,Gujarat,Ahmedabad,dhandhuka,tagadi1,22.296421,71.945626,2020,8.1,7.993282328101591,6.059123195581797,5.598421958998375,6.683360945766275,3.784189633918261,6.311734809152915,4.890349128221754,4.007333185232471,6.082218910376446,3.2188758248682006,0.5877866649021191,7.592870287844818,812.6564,Unsuitable for Drinking
W191640074134001,Maharashtra,Ahmednagar,sangamner,bote,74.22777778,19.27777778,2022,7.97,7.152268856032539,5.723911845951367,4.642465970731788,4.388257184424518,5.303802296778606,6.054439346269371,4.3463994570307305,4.062165663857866,4.485259889315534,1.1314021114911006,0.27002713721306015,6.104793232414985,294.00708,Very Poor yet Drinkable
W220900071533001,Gujarat,Ahmedabad,barwala,barvala,22.162375,71.894176,2020,8.2,8.900957872545062,7.165493475060845,7.089243155027514,6.910750787961936,3.5263605246161616,5.942799375126701,3.4965075614664802,4.30406509320417,7.346655163176539,0.23901690047049992,1.3609765531356006,8.50045386741194,1963.92992,Unsuitable for Drinking
W193130073553001,Maharashtra,Ahmednagar,akola,rajur,73.925,19.525,2022,7.85,6.460530236625741,5.781977322241258,3.250374491927572,2.9652730660692823,2.4932054526026954,5.673323267171493,3.933784497209659,3.716008121502189,2.8154087194227095,0.262364264467491,0.18232155679395465,6.07073772800249,173.9721,Poor
W220550071535001,Gujarat,Ahmedabad,barwala,lonjdhara,22.096372,71.893154,2020,8.2,7.142827401161621,6.2166061010848646,4.962844630259907,3.4339872044851463,3.912023005428146,5.14166355650266,3.044522437723423,3.4011973816621555,5.420534999272286,0.412109650826833,1.2237754316221157,6.742880635791903,346.56536,Unsuitable for Drinking
W321645075503001,Himachal Pradesh,Kangra,nurpur,jassur,32.2796,75.8408,2019,8.45,5.802118375377063,4.812184355372417,3.091042453358316,0.0,3.091042453358316,4.948759890378168,3.2188758248682006,2.995732273553991,3.1780538303479458,1.095273387402595,0.1484200051182733,5.572154032177765,94.69174,Good
W193400074131501,Maharashtra,Ahmednagar,sangamner,sangamner,74.22083333,19.56666667,2022,8.14,7.501634457883413,6.101215411067101,5.295814236329918,4.833102254034098,5.288267030694535,6.133398042996649,4.396915247167632,4.162003210695915,5.3171391207886245,1.791759469228055,0.5247285289349821,6.29156913955832,400.09036,Unsuitable for Drinking
W221830071413001,Gujarat,Ahmedabad,ranpur,rajpada,22.318608,71.69566,2020,8.1,6.5638555265321274,5.683579767338681,4.060443010546419,3.4339872044851463,3.6375861597263857,5.484796933490655,3.7155213850603572,3.5553480614894135,4.2626798770413155,0.27002713721306015,0.5481214085096876,6.163314804034641,195.44632,Poor
W192100074103001,Maharashtra,Ahmednagar,sangamner,ambikhalsa,74.175,19.35,2022,8.02,6.85835492868701,5.938327448694853,4.115779842942166,3.9908341858524357,3.6838669122903918,5.5254529391317835,3.933784497209659,3.4468078929142076,4.659658371272161,0.5877866649021191,0.43178241642553783,6.966024187106113,319.70198,Unsuitable for Drinking
W221610071420001,Gujarat,Ahmedabad,ranpur,kundali,22.260329,71.668467,2020,8.2,6.601230118728877,6.0014148779611505,3.58351893845611,2.8903717578961645,2.4849066497880004,5.739792912179234,3.8066624897703196,3.912023005428146,3.828641396489095,0.23111172096338664,0.31481073984003355,6.20050917404269,202.73436,Very Poor yet Drinkable
W194300074290001,Maharashtra,Ahmednagar,kopargaon,rahata,74.48333333,19.71666667,2022,7.63,8.27664912542186,6.0874563127617085,6.807934943699926,5.082025290182929,5.304796332645746,6.933423025730715,5.353752073436137,4.808111029984782,6.089951493822636,0.9555114450274363,0.37156355643248307,6.398594934535208,737.49642,Unsuitable for Drinking
W213130071213001,Gujarat,Amreli,lilia,punjapadar,21.530495,71.359185,2020,7.1,6.07993319509559,5.214935757608986,3.58351893845611,3.6635616461296463,0.3293037471426004,4.394449154672439,3.2188758248682006,1.7749523509116738,4.23410650459726,1.6486586255873816,0.412109650826833,5.680172609017068,120.95047,Poor
W191400074400001,Maharashtra,Ahmednagar,nagar,dehre,74.66666667,19.23333333,2022,8.08,6.249009525139524,5.339939041238856,3.92395157629342,2.8507065015037334,1.4816045409242156,5.25227342804663,4.11251186617755,2.3702437414678603,3.353406717825807,0.7419373447293773,0.2151113796169455,6.453624998892692,180.22832,Poor
W191810084453301,Gujarat,Amreli,lathi,lathi,21.726976,71.382977,2020,8.2,6.962243464266207,5.968707559985366,5.0106352940962555,3.7376696182833684,2.5649493574615367,5.3981627015177525,3.6109179126442243,3.4965075614664802,5.062595033026967,0.20701416938432615,0.4054651081081644,6.56244409369372,286.90968,Very Poor yet Drinkable
W190620074375001,Maharashtra,Ahmednagar,nagar,jakhangaon,74.63055556,19.10555556,2022,7.76,8.225770799348734,5.8888779583328805,5.986452005284438,6.792456654618674,4.394449154672439,7.115582126184454,5.353752073436137,5.149237143533884,5.697429000684026,1.9600947840472698,0.4637340162321401,6.248042874508429,710.93264,Unsuitable for Drinking
W214330071280001,Gujarat,Amreli,lathi,tajpur,21.72537,71.461433,2020,7.9,6.09807428216624,5.3981627015177525,3.367295829986474,2.995732273553991,1.8718021769015913,5.081404364984463,3.713572066704308,2.772588722239781,3.6375861597263857,1.0784095813505903,0.33647223662121295,5.697093486505405,123.16274,Poor
W193600074303001,Maharashtra,Ahmednagar,shrirampur,babhuleshwar,74.50833333,19.6,2022,8.11,6.768148324595719,5.905634290502789,3.9926809084456005,3.8628327612373745,2.6461747973841225,5.638354669333745,4.11251186617755,3.484312288372662,4.300002799195291,0.33647223662121295,0.4700036292457356,6.249975242259483,225.54804,Very Poor yet Drinkable
W214900071244501,Gujarat,Amreli,lathi,chavand,21.81105,71.40574,2020,8.1,6.410174881966167,5.723585101952381,3.58351893845611,3.1780538303479458,1.824549292051046,5.351858133476067,3.713572066704308,3.332204510175204,4.07753744390572,0.6418538861723948,0.33647223662121295,6.0112671744041615,167.3014,Poor
W314745076200001,Himachal Pradesh,Kangra,dehra gopipur,bharoli,31.7921,76.3342,2019,8.32,6.447305862541213,5.075173815233827,4.430816798843313,2.3978952727983707,3.4965075614664802,5.198497031265826,3.6109179126442243,3.1354942159291497,4.060443010546419,1.0647107369924282,0.1397619423751587,5.572154032177765,142.78788,Poor
W185735074322001,Maharashtra,Ahmednagar,parner,supe,74.53888889,18.95972222,2022,7.78,7.60489448081162,6.045005314036012,5.503704196272987,4.956531035103055,5.295312857527738,6.154858094016418,4.396915247167632,4.198704577546343,5.4116460518550396,2.3608540011180215,0.8109302162163288,6.811244378601294,480.52432,Unsuitable for Drinking
W215500071130001,Gujarat,Amreli,babra,untvad,21.906801,71.222832,2020,8.0,7.103322062526113,5.501258210544727,5.056245805348308,4.060443010546419,5.1647859739235145,6.236369590203704,4.859812404361672,3.8501476017100584,4.1588830833596715,0.3220834991691133,0.3506568716131694,6.703188113240863,333.73228,Unsuitable for Drinking
W321605076010001,Himachal Pradesh,Kangra,nurpur,mao,32.2603,76.0106,2019,8.4,5.746203190540153,5.147494476813453,3.091042453358316,0.0,0.9555114450274363,4.875197323201151,3.713572066704308,2.1162555148025524,3.367295829986474,0.6931471805599453,0.15700374880966478,5.572154032177765,94.8761,Good
W185745074482501,Maharashtra,Ahmednagar,nagar,dahigaon,74.80694444,18.9625,2022,7.56,8.363342466597977,5.905634290502789,6.264730707825403,6.829901839777273,5.304299438225584,6.90875477931522,5.305292980284462,4.808111029984782,5.8185981490847825,5.80302430930585,0.37156355643248307,6.655440350367647,861.73704,Unsuitable for Drinking
W215730071121501,Gujarat,Amreli,babra,kotadapitha,21.951223,71.206321,2020,8.1,5.955837369464831,5.214935757608986,3.367295829986474,2.833213344056216,1.7578579175523736,4.948759890378168,3.2188758248682006,2.995732273553991,3.4339872044851463,1.0784095813505903,0.33647223662121295,5.556828061699537,106.06944,Poor
W320730075413001,Himachal Pradesh,Kangra,indora,andaura,32.1369,75.6894,2019,8.5,5.993961427306569,5.147494476813453,3.091042453358316,1.791759469228055,2.163323025660538,4.948759890378168,3.367295829986474,2.8903717578961645,4.02535169073515,1.1939224684724346,0.22314355131420976,5.572154032177765,107.5609,Poor
W192120075190001,Maharashtra,Ahmednagar,shevgaon,rakshi,75.31666667,19.35555556,2022,8.12,6.665938462402306,5.6832395734248715,4.055257173514054,4.1666652238017265,2.8735646395797834,5.638354669333745,4.11251186617755,3.484312288372662,3.8133070324889884,2.0014800002101243,0.44468582126144574,6.736966958001855,257.52178,Very Poor yet Drinkable
W213945070590001,Gujarat,Amreli,bagasara,kunkavav,21.6555,70.980484,2020,7.8,7.175489713624222,5.723585101952381,5.298317366548036,4.624972813284271,4.23410650459726,5.916202062607435,4.110873864173311,4.007333185232471,4.969813299576001,0.5364933705145685,0.1988508587451652,6.775366090936392,352.45496,Unsuitable for Drinking
W320330075431501,Himachal Pradesh,Kangra,indora,barota,32.0388,75.7192,2019,8.32,6.030685260261263,5.147494476813453,3.367295829986474,0.0,3.6109179126442243,5.017279836814924,3.4965075614664802,2.8903717578961645,3.295836866004329,2.995732273553991,0.09531017980432487,5.572154032177765,112.84948,Poor
W192830074371501,Maharashtra,Ahmednagar,rahuri,devlali,74.62083333,19.475,2022,7.91,7.57095858316901,6.180223671560361,5.474369310328396,5.081404364984463,4.398146016553765,6.1224928095143865,4.044804116661965,4.350277936359301,5.395897694886901,2.517696472610991,0.41871033485818504,6.674561391814426,445.02934,Unsuitable for Drinking
W213500070580001,Gujarat,Amreli,bagasara,vaghania juna,21.583441,70.969502,2020,8.0,7.167809184316444,6.395261598115449,4.672828834461906,3.7376696182833684,3.58351893845611,5.442417710521793,3.367295829986474,3.6888794541139363,5.3981627015177525,2.2027647577118348,0.7419373447293773,6.767343125265392,358.6388,Unsuitable for Drinking
W314710076175001,Himachal Pradesh,Kangra,rakkar,hardogri,31.7839,76.2956,2019,8.3,5.955837369464831,5.075173815233827,3.58351893845611,0.0,1.4586150226995167,5.017279836814924,3.8066624897703196,2.3702437414678603,3.4965075614664802,0.9162907318741551,0.1397619423751587,5.572154032177765,104.1554,Poor
W192300074345501,Maharashtra,Ahmednagar,rahuri,malharwadi,74.58194444,19.38333333,2022,7.82,6.607865663422611,5.501666290534067,4.3694478524670215,3.8437441646748516,2.6878474937846906,5.484796933490655,3.716008121502189,3.5553480614894135,4.091005660956586,1.2237754316221157,0.5247285289349821,6.486160788944089,220.44088,Very Poor yet Drinkable
W212845070574501,Gujarat,Amreli,bagasara,bagasara,21.476752,70.960818,2020,7.8,8.185907481482324,6.0014148779611505,6.660575149839686,5.564520407322694,5.442417710521793,7.004881989712859,4.890349128221754,5.236441962829949,5.8805329864007,0.3293037471426004,0.3784364357202451,7.785720896534624,951.01604,Unsuitable for Drinking
W191720074441501,Maharashtra,Ahmednagar,rahuri,bambori,74.7375,19.28888889,2022,8.02,6.201928045264817,5.215479088239032,3.6888794541139363,3.6686767467964168,2.312535423847214,5.25227342804663,3.55820113047182,3.2771447329921766,3.374168709274236,0.4700036292457356,0.2776317365982795,6.306275286948016,164.30758,Poor
W213630071133001,Gujarat,Amreli,amreli,amreli,21.609747,71.223979,2020,7.4,7.155396301896734,5.762051382780177,5.298317366548036,4.574710978503383,3.9318256327243257,6.018593214496234,4.61512051684126,3.6888794541139363,4.727387818712341,0.832909122935104,0.13102826240640408,6.755768921984255,345.0234,Unsuitable for Drinking
W320943075592701,Himachal Pradesh,Kangra,indora,darkati,32.1622,75.9909,2019,8.35,5.846438775057725,4.990432586778736,3.332204510175204,0.0,3.2188758248682006,4.795790545596741,3.2188758248682006,2.772588722239781,3.367295829986474,2.70805020110221,0.11332868530700317,5.572154032177765,100.2409,Poor
W192345074491501,Maharashtra,Ahmednagar,nevasa,sonai,74.82083333,19.39583333,2022,7.89,6.516193076042964,5.662265794453267,3.7727609380946383,3.462606009790799,2.3702437414678603,5.5053315359323625,3.933784497209659,3.407841924380824,3.6270040503958487,0.7419373447293773,0.2546422183735807,6.113682179832232,181.36046,Poor
W213230071093001,Gujarat,Amreli,amreli,govadka,21.542967,71.157289,2020,7.6,6.230481447578482,5.278114659230517,3.9318256327243257,3.295836866004329,2.9444389791664403,5.081404364984463,3.4965075614664802,2.995732273553991,3.9318256327243257,2.3513752571634776,0.2546422183735807,5.831882477283517,139.5974,Poor
W320536076155201,Himachal Pradesh,Kangra,kangra,old kangra,32.0934,76.2645,2019,8.47,5.8944028342648505,4.709530201312334,2.6390573296152584,2.5649493574615367,2.833213344056216,5.081404364984463,3.713572066704308,2.772588722239781,3.258096538021482,0.9162907318741551,0.13102826240640408,5.572154032177765,98.13358,Good
W193300075064501,Maharashtra,Ahmednagar,nevasa,shirasgaon,75.10138889,19.55,2022,7.99,6.830009930357284,5.501666290534067,4.7086288943563215,4.669083511731744,2.2617630984737906,5.638354669333745,4.11251186617755,3.484312288372662,4.387014176184921,1.6094379124341003,0.23111172096338664,6.077642243349034,221.06756,Very Poor yet Drinkable
W213115071081001,Gujarat,Amreli,amreli,vankiya,21.539569,71.165526,2020,7.9,6.587550014824796,5.8377304471659395,4.060443010546419,3.367295829986474,2.6390573296152584,4.51085950651685,2.833213344056216,2.5649493574615367,4.919980925828125,0.5128236264286639,0.5247285289349821,6.18826412308259,201.40712,Very Poor yet Drinkable
W184400075190001,Maharashtra,Ahmednagar,jamkhed,jamkhed,75.31666667,18.73333333,2022,7.96,7.739359202689098,6.435188367333237,5.757323241584231,5.082025290182929,3.8543938925915096,6.7580945044277305,4.922168312773925,4.847331743138063,4.7664383335842135,2.2192034840549946,0.3987761199573678,6.030685260261263,445.72804,Unsuitable for Drinking
W212500071100001,Gujarat,Amreli,dhari,chalala,21.414865,71.165137,2020,8.2,6.364750756851911,5.3981627015177525,4.276666119016055,3.4965075614664802,2.2823823856765264,5.303304908059076,3.6109179126442243,3.332204510175204,3.970291913552122,0.688134638736401,0.1988508587451652,5.966146739123692,158.40464,Poor
